Test,Butyrate,AIB,3_Hydroxyglutaric_acid,Lactobacillus,3_Hydroxyisobutyric_acid,Proline,Aspartic_acid,Succinic_acid,Tyramine,Acetylglycine,Tryptophan,Galactose,5_Aminovaleric_acid,5_Methoxytryptamine,Nicotinic_acid,3_Aminopropanoic_acid,Cysteine,Glutamic_acid,5_Oxoproline,3_Hydroxybutyric_acid,3_Aminoglutaric_acid,Blautia,Homocysteine,Pyridoxal_phosphate,selectedAA
1,491.069,0.6444264,1.3941864,32.60521211,0.2230815,0.2251869,0.6127629,5.5178343,0.0415662,0.7603821,1.1086587,0.1342596,0.0396519,0.0352341,1.4047107,0.1808595,0.0649659,1.6681131,2.9152428,0.6463992,0.6231591,0,0.0165267,0,3.6796875
1,0,1.013601226,1.201968113,41.6387545,0.009384057,0.179804717,0.159953491,3.044466509,0.005543491,0.171241132,0.23781,0.042922925,0.013967547,0,2.375441038,0.033395094,0.017434528,0.106483019,2.844386321,0.01299283,0.169759528,0,0.01334066,0,0.701485755
0,24094.279,8.507432308,0.941658923,8.807761042,1.083557538,4.962137077,0.755654769,0,0.598012846,0.041495769,0,2.511130385,4.845362077,0.462734538,0.392796692,1.314070846,0.498733154,2.635119692,0.284391,6.038363308,0.754107231,0.842481491,0.094192846,9.944869385,8.851644692
0,23597.751,10.36636904,1.161659423,17.97857476,0.376817019,6.122257212,1.325818269,0,0.222069808,0,0.0253275,0.997412596,2.751086827,0.515203846,0.215232404,0.872027596,0.382744327,3.138327981,0.304555673,1.957088654,1.33539375,3.702841174,0.040284519,5.478220673,10.99447529
0,28847.725,9.737486111,1.101782222,13.01474326,0.3662725,3.735411389,2.018935833,0,0.239360556,0,0.029953056,0.651921389,2.194621111,0.057051111,0.180900556,0.695756667,0.269993333,5.177660278,0.341721389,2.034001667,2.067254444,2.287747839,0.027578611,3.011224722,11.23195389
0,24935.013,10.61265091,0.918180909,24.450881,0.369580682,4.97803,0.978367273,0,0.910642045,0,0.025576364,1.416196364,3.649766818,0.143075909,0.430001591,2.941697727,0.1906975,3.075700227,0.265597273,2.0114925,1.001551591,0.699975863,0.034192727,9.250864091,9.248371364
1,27538.641,12.95484225,1.00132825,52.41400121,0.49866725,4.04627825,0.865992,0,0.16462375,0.044155,0,0.980653,4.50031875,0.06622275,0.2488195,1.35388175,0.2176745,3.0020785,0.23991325,2.548419,0.8794575,1.237175619,0.06095375,7.28698625,8.13202325
1,35702.044,8.425676379,1.008015,48.52978778,0.118423448,5.876278966,1.6348125,0,0.073481121,0.033979138,0.049925948,2.077663707,3.550085948,0.035383707,0.078823966,0.878160259,0.274924397,6.403278879,0.455779138,0.603320172,1.639032931,2.505753004,0.075771724,3.967053362,14.23922069
1,46483.743,327.1615399,0.961373115,20.40912297,0.142832459,2.249252705,1.307766639,0,0.067542295,0.025797541,0.024446803,0.30116041,7.116761311,0.04082459,0.080251967,0.689322295,0.215359672,3.575149426,0.287075902,0.758613443,1.350461803,4.044204091,0.035164426,3.225692213,7.371975245
1,29572.128,11.13756402,1.085021518,54.27101968,0.150731518,3.331271786,0.905071339,0,0.119218393,0.024722946,0.021269464,1.897796518,2.508644464,0.121761964,0.122505268,1.445242232,0.175433036,2.527986964,0.296772589,0.778749107,0.906747321,0.983899821,0.070222768,6.061089107,6.961032589
1,24112.361,10.302204,1.1802897,31.42857143,0.1011672,1.4394243,0.8577306,0,0.0497352,0.0181248,0,0.533118,1.3960137,0.0830241,0.1535316,1.0749744,0.1707939,1.5152901,0.2384577,0.5210112,0.8469033,0.488400488,0,4.4394285,3.9832389
1,24163.615,10.33674964,1.083916071,70.9321437,0.298135179,3.33452625,1.163364375,0,0.227226429,0.032094911,0.021242411,0.765906696,2.454251518,0.087368036,0.184890804,0.654992946,0.207851786,2.971030982,0.274361518,1.651339554,1.187846786,0.704390702,0.034080268,4.292804732,7.698015804
1,47457.563,7.138605469,0.970490391,65.36267319,0.194029688,12.8712982,3.041899688,0,0.043238438,0.043331484,0.059636953,1.085173359,1.638549375,1.597865859,0.132899297,1.695443906,0.539403047,6.803246953,0.416001094,0.996106406,3.06209625,1.95599022,0.032202891,37.59527016,23.31548484
1,26086.993,12.60111147,1.176334412,61.52315999,0.199949118,3.126223235,0.854694706,0,0.120467059,0.024402059,0,1.112233529,2.158923824,0.140651471,0.191787941,1.960307647,0.465517941,2.411637941,0.245360294,1.033939412,0.847413529,4.973003694,0,7.353806176,6.858073823
0,214.964,0.1561431,1.1920005,0,0.1100067,20.7491991,0.8872008,0.6812973,0.2365464,0,0.1346682,9.6410415,40.3415061,0.1579107,1.2137862,2.3670876,0.1908033,10.0762113,0.8970069,0.0763053,0.8750043,0.108410877,0,0.1738191,32.0380827
0,166.606,0.1484679,1.1866779,0,0.0963849,7.6406016,0.7354464,1.2429186,0.1194735,0,0.104769,5.5197648,37.4951208,0.1556739,0.7795176,6.7923918,0.1657536,5.4338403,0.9184125,0.0785601,0.738843,0.095343544,0,0.2413644,14.0804109
0,222.954,0.139805278,1.137406389,0,0.0224375,14.35855889,0.452566389,0.8497575,0.035343889,0,0.132383889,5.5070525,0.412148333,0.049253056,0.583266667,0.9727925,0.068968889,3.511211944,0.748205278,0.086179722,0.45489,0.025540827,0,0.352433611,18.52369
0,213.756,0.125401442,1.159173462,0,0.016772019,2.259362885,0.156281827,0.262887115,0.043140577,0,0.07133625,0.300319038,0.179018365,0.081660288,0.405615865,0.390087404,0.052551346,1.220236154,0.571080865,0.079714904,0.146025,0.042172112,0,0.392415288,3.759768462
1,352.46,0.161437778,1.192153333,0,0.156000556,6.008038889,0.316410833,0.916329444,0.041265278,0,0.062812222,7.972788056,27.63263611,0.265935833,0.759574444,2.662738611,0.121167778,3.258496111,0.876829167,0.0422875,0.312285278,0,0,0.413841944,9.766925833
1,329.367,0.170495481,1.131698077,0,0.13215375,13.20792981,0.319390096,1.579359519,0.134367981,0,0.074843365,9.884479327,15.85641058,0.379360096,1.270169712,0.837351635,0.144539423,3.935904808,1.016014904,0.092007115,0.305317788,0.433153575,0,0.662168077,17.6826075
1,345.907,0.202680283,1.115594434,0,0.025792925,2.704310377,0.034543585,0.41145566,0.033114906,0,0.010140849,1.200623774,0.476595,0.075148868,0.648271415,0.945411792,0.072572264,0.287385,0.269636604,0.096772925,0.038263019,0,0,0.286646604,3.108952075
1,407.835,0.189778475,1.005994576,0,0.023837542,3.492699407,0.05582822,0.21818339,0.196626864,0,0.030355678,0.756082627,0.380936441,0.058506864,0.597401949,0.421698814,0.041333136,0.483029492,0.320932119,0.109171271,0.055560508,0,0,1.083998898,4.103245933
